CASEID,jsr_02,jsr_07,jsr_08,jsr_09,jsr_10,wdr_02,wdr_06,wdr_07,wdr_09,wdr_10,sfc_01,sfc_07,sfc_08,tmg_01,tmg_03
4572,6,6,6,2,2,6,6,96,6,6,6,96,96,2,2
4573,1,2,1,1,1,2,1,1,1,2,3,5,5,5,2
4574,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4575,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4576,2,2,2,2,1,2,2,1,2,2,2,5,5,5,2
4577,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4578,2,1,1,1,1,1,1,1,2,2,2,5,5,3,2
4579,1,1,1,2,1,2,2,2,2,2,2,4,4,3,2
4580,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4581,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4582,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4583,2,2,2,3,2,2,3,2,3,3,2,5,5,3,3
4584,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4585,6,6,6,1,1,6,6,96,6,6,6,96,96,4,2
4586,2,2,3,2,2,3,3,3,3,3,2,5,5,5,2
4587,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4588,2,3,4,2,2,3,3,3,3,2,1,4,4,3,4
4589,1,1,2,1,1,2,1,3,4,2,1,4,5,3,2
4590,2,2,3,4,1,2,3,3,4,4,2,4,4,3,3
4591,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4592,1,1,1,2,1,2,2,1,1,1,3,5,4,2,3
4593,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4594,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4595,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4596,1,1,2,2,2,6,6,4,7,5,4,5,6,4,1
4597,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4598,1,2,2,2,1,1,1,3,2,2,1,5,5,3,2
4599,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4600,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4601,2,2,2,1,1,3,1,1,2,2,1,3,3,5,1
4602,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4603,6,6,6,1,2,6,6,96,6,6,6,96,96,4,2
4604,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
4605,2,2,2,2,1,2,1,3,2,2,1,5,5,5,2
4606,1,1,1,2,2,1,1,4,2,1,1,4,5,3,2
4607,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4608,2,2,3,3,2,2,1,3,2,2,2,5,5,3,2
4609,1,2,2,2,2,2,2,3,2,2,4,3,3,3,2
4610,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4611,2,2,3,1,1,2,6,6,3,2,2,4,4,3,3
4612,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4613,1,1,1,1,1,2,2,6,2,1,2,3,3,3,2
4614,4,3,4,3,3,3,3,3,4,3,3,3,4,2,4
4615,2,1,1,2,1,2,1,1,2,2,2,4,4,5,1
4616,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4617,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4618,1,1,1,1,1,1,1,1,3,1,1,4,3,2,2
4619,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4620,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4621,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4622,1,2,2,1,1,1,1,1,1,1,2,5,5,3,2
4623,2,1,4,2,2,2,2,3,3,3,1,1,4,3,3
4624,1,1,2,2,1,2,2,2,3,2,2,3,3,3,2
4625,2,2,3,2,2,2,2,3,2,2,2,4,4,2,4
4626,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4627,1,2,2,2,2,1,3,3,3,2,2,5,5,4,2
4628,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4629,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4630,6,6,6,1,1,6,6,96,6,6,6,96,96,3,2
4631,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4632,1,2,2,3,3,2,3,2,2,2,2,5,4,2,4
4633,6,6,6,6,6,6,6,96,6,6,6,96,96,4,4
4634,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4635,6,6,6,6,6,6,6,96,6,6,6,96,96,5,5
4636,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4637,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4638,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4639,6,6,6,6,6,6,6,96,6,6,6,96,96,5,2
4640,2,2,3,3,1,6,2,2,4,2,3,5,4,3,3
4641,2,2,4,3,1,1,1,5,4,2,1,5,4,3,2
4642,6,6,6,6,6,6,6,96,6,6,6,96,96,2,2
4643,2,2,2,2,1,2,2,1,4,1,3,5,4,2,4
4644,1,1,1,2,2,6,3,2,2,1,1,5,4,4,2
4645,6,6,6,6,6,6,6,96,6,6,6,96,96,2,2
4646,2,2,3,3,3,2,2,2,4,4,1,3,4,3,2
4647,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4648,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4649,2,2,2,2,2,2,3,2,3,2,1,5,5,4,2
4650,6,6,6,6,6,6,6,96,6,6,6,96,96,3,2
4651,6,6,6,6,6,6,6,96,6,6,6,96,96,3,2
4652,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4653,1,1,1,1,1,2,1,2,2,2,1,5,5,4,3
4654,6,6,6,6,6,6,6,96,6,6,6,96,96,5,3
4655,3,1,4,2,1,2,1,4,2,4,1,2,4,3,2
4656,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4657,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4658,2,1,1,2,2,2,1,1,7,1,4,5,5,3,2
4659,2,2,2,2,1,2,1,1,1,1,2,5,5,3,2
4660,6,6,6,6,6,6,6,96,6,6,6,96,96,2,3
4661,6,6,6,1,1,6,6,96,6,6,6,96,96,5,1
4662,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4663,3,3,2,3,2,2,2,1,1,3,4,5,3,3,2
4664,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4665,1,2,2,1,1,1,2,1,2,2,3,5,5,4,2
4666,3,3,2,1,1,6,2,1,5,3,3,5,5,5,1
4667,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4668,1,2,2,2,1,2,2,2,2,1,2,5,4,5,2
4669,6,6,6,2,1,6,6,96,6,6,6,96,96,4,2
4670,1,1,1,1,1,1,1,1,1,1,1,5,5,2,2
4671,1,1,1,1,1,6,2,6,1,1,4,6,5,3,1
4672,1,1,1,2,1,1,1,2,2,2,3,5,5,4,2
4673,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4674,2,1,2,2,1,2,2,2,2,1,2,3,4,3,2
4675,1,2,2,1,1,3,2,3,4,2,3,4,5,3,1
4676,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4677,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4678,1,1,2,2,1,1,1,2,2,2,2,3,3,3,2
4679,2,3,2,2,2,1,1,1,2,3,1,4,5,3,2
4680,2,3,2,2,2,3,3,3,3,2,3,3,3,3,2
4681,1,3,2,2,2,2,2,1,4,2,2,5,4,2,2
4682,6,6,6,6,6,6,6,96,6,6,6,96,96,5,2
4683,1,1,1,1,1,1,1,1,2,4,1,5,5,4,1
4684,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4685,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4686,6,6,6,1,2,6,6,96,6,6,6,96,96,2,3
4687,6,6,6,6,6,6,6,96,6,6,6,96,96,3,2
4688,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4689,2,2,3,3,3,2,3,3,4,2,2,3,4,3,3
4690,1,2,1,1,1,2,1,1,1,5,1,5,5,5,1
4691,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4692,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4693,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4694,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4695,1,1,1,1,1,2,6,4,2,2,2,5,5,4,2
4696,6,6,6,1,1,6,6,96,6,6,6,96,96,3,1
4697,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
4698,1,2,1,1,2,6,1,1,4,2,1,5,5,3,5
4699,1,1,1,1,2,3,3,2,2,1,2,3,3,3,2
4700,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4701,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4702,1,1,1,1,1,1,6,3,1,1,1,5,5,4,1
4703,2,2,2,2,2,6,1,1,2,2,3,4,4,4,1
4704,2,3,3,2,2,3,3,3,4,4,3,3,3,4,2
4705,1,1,4,1,1,1,6,6,3,1,4,5,5,5,1
4706,2,2,2,3,3,1,1,3,2,1,3,4,5,3,2
4707,2,3,2,2,2,1,1,1,2,2,2,5,5,3,2
4708,1,1,1,1,2,2,2,1,1,1,3,5,4,3,2
4709,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4710,2,2,3,2,1,2,1,2,3,1,1,3,3,5,1
4711,1,1,2,1,2,3,2,1,2,1,4,5,4,3,2
4712,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4713,2,2,2,2,1,2,2,2,2,2,4,5,4,4,2
4714,2,2,3,3,3,2,3,2,3,3,3,4,3,4,2
4715,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4716,1,1,1,1,1,1,1,1,1,1,1,6,1,5,1
4717,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4718,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4719,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4720,1,1,1,1,2,1,6,1,1,1,4,5,5,4,1
4721,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4722,2,2,2,2,2,3,2,1,4,2,2,5,4,4,2
4723,1,1,1,2,2,1,1,1,1,1,3,5,5,3,1
4724,1,1,1,1,1,2,1,1,3,3,3,5,5,3,2
4725,2,1,2,1,1,1,2,1,2,2,1,5,3,3,2
4726,3,3,3,3,1,6,2,3,2,3,2,4,4,2,3
4727,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4728,2,2,3,3,1,1,3,3,1,3,4,5,5,3,3
4729,1,1,1,1,1,6,1,1,1,3,1,5,5,3,2
4730,2,2,2,2,2,2,2,2,2,2,2,5,4,4,2
4731,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4732,3,2,3,2,2,6,3,5,4,3,1,4,4,4,2
4733,2,2,3,4,2,2,2,2,3,2,1,97,5,5,2
4734,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4735,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4736,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4737,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4738,9,9,9,9,9,6,9,99,9,9,9,99,99,4,2
4739,2,2,2,2,2,1,1,1,2,5,2,5,5,3,4
4740,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4741,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4742,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4743,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
4744,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4745,6,6,6,6,6,6,6,96,6,6,6,96,96,3,4
4746,2,2,2,2,1,2,1,2,2,2,1,4,4,3,2
4747,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4748,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4749,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4750,2,2,2,3,3,2,1,1,3,3,1,5,5,4,2
4751,1,5,1,3,3,6,6,1,5,5,1,5,6,5,1
4752,6,6,6,6,6,6,6,96,6,6,6,96,96,3,2
4753,2,2,1,3,2,3,4,2,4,1,3,1,2,3,3
4754,2,2,2,1,1,3,3,1,4,2,1,3,3,3,2
4755,1,2,2,2,2,3,3,2,2,2,2,5,5,4,2
4756,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4757,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4758,1,2,2,2,2,2,2,2,2,2,2,5,5,3,3
4759,2,2,3,3,2,2,2,1,4,2,1,4,4,2,2
4760,2,1,1,2,2,2,2,1,2,2,2,4,5,3,2
4761,1,1,2,2,1,6,3,6,2,2,3,1,1,5,2
4762,1,1,1,2,1,1,3,1,3,2,3,5,4,5,2
4763,6,6,6,6,6,6,6,96,6,6,6,96,96,3,2
4764,6,6,6,6,6,6,6,96,6,6,6,96,96,4,2
4765,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4766,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4767,6,6,6,6,6,6,6,96,6,6,6,96,96,5,2
4768,6,6,6,1,1,6,6,96,6,6,6,96,96,4,1
4769,6,6,6,1,1,6,6,96,6,6,6,96,96,3,1
4770,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4771,1,1,1,1,1,1,1,1,1,1,2,5,5,5,2
4772,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4773,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4774,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4775,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4776,5,2,4,2,3,2,2,3,3,3,2,4,5,2,3
4777,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
4778,6,6,6,6,6,6,6,96,6,6,6,96,96,6,6
